logg,Teff,Z,u,Filt,Met,Mod
3.5,29000,-5,0.2293,R,F,A
4,29000,-5,0.2097,R,F,A
4.5,29000,-5,0.1974,R,F,A
5,29000,-5,0.1905,R,F,A
3.5,30000,-5,0.2233,R,F,A
4,30000,-5,0.2047,R,F,A
4.5,30000,-5,0.1937,R,F,A
5,30000,-5,0.1869,R,F,A
3.5,31000,-5,0.218,R,F,A
4,31000,-5,0.1985,R,F,A
4.5,31000,-5,0.1885,R,F,A
5,31000,-5,0.1825,R,F,A
4,32000,-5,0.1922,R,F,A
4.5,32000,-5,0.1823,R,F,A
5,32000,-5,0.1766,R,F,A
4,33000,-5,0.1858,R,F,A
4.5,33000,-5,0.1757,R,F,A
5,33000,-5,0.1704,R,F,A
4,34000,-5,0.1784,R,F,A
4.5,34000,-5,0.1692,R,F,A
5,34000,-5,0.164,R,F,A
4,35000,-5,0.1702,R,F,A
4.5,35000,-5,0.1618,R,F,A
5,35000,-5,0.1571,R,F,A
4.5,37500,-5,0.1405,R,F,A
5,37500,-5,0.1372,R,F,A
4.5,40000,-5,0.1268,R,F,A
5,40000,-5,0.1187,R,F,A
5,42500,-5,0.109,R,F,A
5,45000,-5,0.1054,R,F,A
5,47500,-5,0.1045,R,F,A
5,50000,-5,0.1046,R,F,A
0,3500,-4.5,0.6308,R,F,A
0.5,3500,-4.5,0.6072,R,F,A
1,3500,-4.5,0.5494,R,F,A
1.5,3500,-4.5,0.4969,R,F,A
2,3500,-4.5,0.4659,R,F,A
2.5,3500,-4.5,0.4572,R,F,A
3,3500,-4.5,0.4595,R,F,A
0,3750,-4.5,0.6271,R,F,A
0.5,3750,-4.5,0.607,R,F,A
1,3750,-4.5,0.571,R,F,A
1.5,3750,-4.5,0.4977,R,F,A
2,3750,-4.5,0.4131,R,F,A
2.5,3750,-4.5,0.3656,R,F,A
3,3750,-4.5,0.351,R,F,A
3.5,3750,-4.5,0.3678,R,F,A
0,4000,-4.5,0.6205,R,F,A
0.5,4000,-4.5,0.5905,R,F,A
1,4000,-4.5,0.5545,R,F,A
1.5,4000,-4.5,0.5159,R,F,A
2,4000,-4.5,0.4588,R,F,A
2.5,4000,-4.5,0.3743,R,F,A
3,4000,-4.5,0.3123,R,F,A
3.5,4000,-4.5,0.2836,R,F,A
4,4000,-4.5,0.2819,R,F,A
0,4250,-4.5,0.6068,R,F,A
0.5,4250,-4.5,0.5768,R,F,A
1,4250,-4.5,0.5418,R,F,A
1.5,4250,-4.5,0.5085,R,F,A
2,4250,-4.5,0.4776,R,F,A
2.5,4250,-4.5,0.4414,R,F,A
3,4250,-4.5,0.3757,R,F,A
3.5,4250,-4.5,0.3121,R,F,A
4,4250,-4.5,0.2704,R,F,A
4.5,4250,-4.5,0.2499,R,F,A
0,4500,-4.5,0.5866,R,F,A
0.5,4500,-4.5,0.5617,R,F,A
1,4500,-4.5,0.5332,R,F,A
1.5,4500,-4.5,0.5033,R,F,A
2,4500,-4.5,0.4766,R,F,A
2.5,4500,-4.5,0.4525,R,F,A
3,4500,-4.5,0.4233,R,F,A
